id,cash_request_id,type,status,category,total_amount,reason,created_at,updated_at,paid_at,from_date,to_date,charge_moment
16002,23121.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 23121,22/10/2020,22/10/2020,06/11/2020,,,
13386,21051.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21051,14/10/2020,14/10/2020,05/11/2020,,,
14330,21799.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21799,17/10/2020,17/10/2020,27/10/2020,,,
20281,20048.0,postpone,cancelled,,5.0,Postpone Cash Request 20048,30/10/2020,30/10/2020,,04/11/2020,06/11/2020,
19151,23564.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 23564,28/10/2020,28/10/2020,07/11/2020,,,
21024,24476.0,postpone,accepted,,5.0,Postpone Cash Request 24476,01/11/2020,01/11/2020,01/11/2020,16/11/2020,05/12/2020,
17136,24158.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 24158,24/10/2020,24/10/2020,03/11/2020,,,
20448,22455.0,postpone,cancelled,,5.0,Postpone Cash Request 22455,30/10/2020,30/10/2020,,30/10/2020,05/11/2020,
7840,16346.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 16346,16/09/2020,13/10/2020,01/10/2020,,,
18647,25225.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25225,27/10/2020,27/10/2020,05/11/2020,,,
20840,21515.0,postpone,cancelled,,5.0,Postpone Cash Request 21515,31/10/2020,31/10/2020,,,08/11/2020,
17715,24553.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 24553,26/10/2020,26/10/2020,03/11/2020,,,
13215,20166.0,postpone,cancelled,,5.0,Postpone Cash Request 20166,13/10/2020,13/10/2020,,,09/11/2020,
15461,22728.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 22728,21/10/2020,21/10/2020,07/11/2020,,,
17716,20885.0,postpone,cancelled,,5.0,Postpone Cash Request 20885,26/10/2020,26/10/2020,,26/10/2020,06/11/2020,
18061,21453.0,postpone,cancelled,,5.0,Postpone Cash Request 21453,26/10/2020,26/10/2020,,,06/11/2020,
19846,26184.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 26184,29/10/2020,29/10/2020,10/11/2020,,,
14331,21800.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21800,17/10/2020,17/10/2020,20/10/2020,,,
13387,21050.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21050,14/10/2020,14/10/2020,06/11/2020,,,
14097,21659.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 21659,16/10/2020,16/10/2020,17/12/2020,,,
16003,23122.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 23122,22/10/2020,22/10/2020,06/11/2020,,,
8558,12691.0,incident,accepted,rejected_direct_debit,5.0,rejected direct debit,21/09/2020,13/10/2020,09/01/2021,,,
19599,25975.0,instant_payment,accepted,,5.0,Instant Payment Cash Request 25975,29/10/2020,29/10/2020,03/12/2020,,,
