id,amount,status,created_at,updated_at,user_id,moderated_at,deleted_account_id,reimbursement_date,cash_request_received_date,money_back_date,transfer_type,send_at,recovery_status,reco_creation,reco_last_update
7609,100.0,money_back,11/07/2020,18/12/2020,18651.0,11/07/2020,,,14/07/2020,,regular,,,,
6341,100.0,money_back,02/07/2020,18/12/2020,18047.0,03/07/2020,,,07/07/2020,,regular,,,,
3448,100.0,money_back,16/06/2020,18/12/2020,3439.0,16/06/2020,,,17/06/2020,,regular,,,,
7607,100.0,money_back,11/07/2020,18/12/2020,20685.0,11/07/2020,,,14/07/2020,06/08/2020,regular,,completed,06/08/2020,06/08/2020
6826,100.0,money_back,06/07/2020,18/12/2020,6823.0,07/07/2020,,,08/07/2020,06/10/2020,regular,,,,
6638,100.0,money_back,05/07/2020,18/12/2020,19724.0,05/07/2020,,,06/07/2020,,regular,,,,
10582,100.0,money_back,02/08/2020,18/12/2020,425.0,03/08/2020,,,11/08/2020,,regular,09/08/2020,,,
3813,100.0,money_back,18/06/2020,18/12/2020,16378.0,18/06/2020,,,19/06/2020,27/08/2020,regular,,completed,27/08/2020,27/08/2020
7258,100.0,money_back,09/07/2020,18/12/2020,11722.0,09/07/2020,,,09/07/2020,,regular,,,,
6722,50.0,money_back,06/07/2020,18/12/2020,26430.0,06/07/2020,,,07/07/2020,,regular,,,,
2779,100.0,money_back,09/06/2020,18/12/2020,4580.0,09/06/2020,,,11/06/2020,,regular,,,,
3202,100.0,money_back,12/06/2020,18/12/2020,3276.0,13/06/2020,,,16/06/2020,,regular,,,,
8906,100.0,money_back,19/07/2020,18/12/2020,34089.0,20/07/2020,,,22/07/2020,,regular,,,,
2616,100.0,money_back,05/06/2020,18/12/2020,12852.0,05/06/2020,,,09/06/2020,10/07/2020,regular,,completed,05/07/2020,10/07/2020
3863,100.0,money_back,18/06/2020,18/12/2020,17370.0,18/06/2020,,,20/06/2020,,regular,,,,
4187,100.0,money_back,19/06/2020,18/12/2020,18730.0,19/06/2020,,,23/06/2020,,regular,,,,
20844,100.0,money_back,13/10/2020,18/12/2020,14584.0,,,,14/10/2020,27/10/2020,instant,13/10/2020,,,
7339,200.0,money_back,09/07/2020,18/12/2020,3557.0,09/07/2020,,,11/07/2020,02/08/2020,regular,,,,
10547,100.0,money_back,02/08/2020,18/12/2020,16711.0,02/08/2020,,,05/08/2020,,regular,09/08/2020,,,
6580,100.0,money_back,04/07/2020,18/12/2020,28238.0,04/07/2020,,13/08/2020,07/07/2020,,regular,,,,
16319,100.0,money_back,15/09/2020,18/12/2020,41679.0,,,,16/09/2020,,instant,22/09/2020,,,
23938,40.0,money_back,24/10/2020,18/12/2020,88563.0,,,,25/10/2020,02/11/2020,instant,24/10/2020,,,
2679,60.0,money_back,07/06/2020,18/12/2020,10853.0,07/06/2020,,,09/06/2020,02/07/2020,regular,,,,
18716,100.0,money_back,01/10/2020,18/12/2020,57096.0,01/10/2020,,,03/10/2020,05/11/2020,instant,08/10/2020,completed,22/10/2020,05/11/2020
23645,25.0,money_back,23/10/2020,18/12/2020,7320.0,,,,24/10/2020,03/11/2020,instant,23/10/2020,,,
19376,50.0,money_back,06/10/2020,18/12/2020,10948.0,06/10/2020,,,07/10/2020,05/11/2020,instant,13/10/2020,,,
3423,100.0,money_back,16/06/2020,18/12/2020,1267.0,16/06/2020,,,18/06/2020,,regular,,,,
18725,100.0,money_back,01/10/2020,18/12/2020,57473.0,01/10/2020,,,02/10/2020,10/11/2020,instant,08/10/2020,,,
7477,100.0,money_back,10/07/2020,18/12/2020,30732.0,10/07/2020,,,14/07/2020,,regular,,,,
11886,50.0,money_back,11/08/2020,18/12/2020,35645.0,,,,19/08/2020,,regular,,completed,11/10/2020,23/10/2020
7314,100.0,money_back,09/07/2020,18/12/2020,7091.0,09/07/2020,,,11/07/2020,,regular,,,,
7365,95.0,money_back,09/07/2020,18/12/2020,,10/07/2020,11278.0,,11/07/2020,,regular,,,,
7397,100.0,money_back,09/07/2020,18/12/2020,4813.0,10/07/2020,,,12/07/2020,,regular,,,,
7398,100.0,money_back,09/07/2020,18/12/2020,4377.0,10/07/2020,,,11/07/2020,,regular,,,,
5789,100.0,money_back,29/06/2020,18/12/2020,,30/06/2020,4454.0,,01/07/2020,,regular,,,,
7597,50.0,money_back,11/07/2020,18/12/2020,,11/07/2020,7196.0,,14/07/2020,,regular,,,,
9217,60.0,money_back,21/07/2020,18/12/2020,34172.0,21/07/2020,,,23/07/2020,27/08/2020,regular,28/07/2020,completed,27/08/2020,27/08/2020
6910,100.0,money_back,07/07/2020,18/12/2020,14248.0,07/07/2020,,10/10/2020,09/07/2020,,regular,,,,
9855,100.0,money_back,28/07/2020,18/12/2020,34389.0,28/07/2020,,,30/07/2020,,regular,04/08/2020,,,
7476,100.0,money_back,10/07/2020,18/12/2020,30845.0,10/07/2020,,,14/07/2020,,regular,,,,
6916,100.0,money_back,07/07/2020,18/12/2020,5049.0,07/07/2020,,,08/07/2020,,regular,,,,
14953,50.0,money_back,07/09/2020,18/12/2020,31566.0,07/09/2020,,,15/09/2020,03/11/2020,instant,14/09/2020,,,
3451,100.0,money_back,16/06/2020,18/12/2020,14755.0,16/06/2020,,,17/06/2020,,regular,,,,
5533,100.0,money_back,26/06/2020,18/12/2020,22084.0,27/06/2020,,,30/06/2020,,regular,,,,
3741,100.0,money_back,17/06/2020,18/12/2020,17026.0,18/06/2020,,,20/06/2020,,regular,,,,
